stepcount,cte_dataheaderid,createdon,companyid,cte_stepcountid
9,356,2020-06-27 11:05:35.303031,,1130
603,356,2020-06-27 11:05:35.303042,,1131
735,356,2020-06-27 11:05:35.303043,,1132
1204,356,2020-06-27 11:05:35.303045,,1133
1758,356,2020-06-27 11:05:35.303046,,1134
1819,356,2020-06-27 11:05:35.303048,,1135
0,360,2020-06-27 11:06:23.056186,,1136
91,360,2020-06-27 11:06:23.056193,,1137
120,360,2020-06-27 11:06:23.056195,,1138
308,360,2020-06-27 11:06:23.056197,,1139
879,360,2020-06-27 11:06:23.056198,,1140
1158,360,2020-06-27 11:06:23.0562,,1141
1193,360,2020-06-27 11:06:23.056201,,1142
1286,360,2020-06-27 11:06:23.056202,,1143
1311,360,2020-06-27 11:06:23.056204,,1144
0,362,2020-06-28 10:12:37.444611,,1145
229,362,2020-06-28 10:12:37.462668,,1146
531,362,2020-06-28 10:12:37.462677,,1147
1057,362,2020-06-28 10:12:37.462678,,1148
2197,362,2020-06-28 10:12:37.462679,,1149
2403,362,2020-06-28 10:12:37.46268,,1150
2403,362,2020-06-28 10:12:37.462681,,1151
2592,362,2020-06-28 10:12:37.462682,,1152
2993,362,2020-06-28 10:12:37.462683,,1153
0,361,2020-06-28 10:12:37.510447,,1154
198,361,2020-06-28 10:12:37.510451,,1155
475,361,2020-06-28 10:12:37.510453,,1156
975,361,2020-06-28 10:12:37.510454,,1157
2064,361,2020-06-28 10:12:37.510455,,1158
2277,361,2020-06-28 10:12:37.510456,,1159
2277,361,2020-06-28 10:12:37.510457,,1160
2473,361,2020-06-28 10:12:37.510458,,1161
2824,361,2020-06-28 10:12:37.510458,,1162
0,372,2020-06-29 10:11:01.651837,,1163
43,372,2020-06-29 10:11:01.671218,,1164
43,372,2020-06-29 10:11:01.67123,,1165
123,372,2020-06-29 10:11:01.671232,,1166
174,372,2020-06-29 10:11:01.671233,,1167
276,372,2020-06-29 10:11:01.671235,,1168
307,372,2020-06-29 10:11:01.671236,,1169
364,372,2020-06-29 10:11:01.671238,,1170
364,372,2020-06-29 10:11:01.671239,,1171
0,376,2020-06-29 10:11:02.879372,,1172
45,376,2020-06-29 10:11:02.879379,,1173
45,376,2020-06-29 10:11:02.87938,,1174
130,376,2020-06-29 10:11:02.879382,,1175
190,376,2020-06-29 10:11:02.879383,,1176
294,376,2020-06-29 10:11:02.879385,,1177
325,376,2020-06-29 10:11:02.879386,,1178
383,376,2020-06-29 10:11:02.879387,,1179
383,376,2020-06-29 10:11:02.879389,,1180
27,379,2020-06-30 10:17:36.396022,,1181
259,379,2020-06-30 10:17:36.409121,,1182
340,379,2020-06-30 10:17:36.409128,,1183
902,379,2020-06-30 10:17:36.409129,,1184
1360,379,2020-06-30 10:17:36.40913,,1185
1447,379,2020-06-30 10:17:36.409131,,1186
1880,379,2020-06-30 10:17:36.409132,,1187
2049,379,2020-06-30 10:17:36.409133,,1188
2049,379,2020-06-30 10:17:36.409134,,1189
0,378,2020-06-30 10:17:36.41653,,1190
0,378,2020-06-30 10:17:36.416537,,1191
27,378,2020-06-30 10:17:36.416538,,1192
0,383,2020-06-30 10:17:36.568848,,1193
0,383,2020-06-30 10:17:36.568853,,1194
36,383,2020-06-30 10:17:36.568854,,1195
36,383,2020-06-30 10:17:36.568856,,1196
91,383,2020-06-30 10:17:36.568857,,1197
169,383,2020-06-30 10:17:36.568858,,1198
169,383,2020-06-30 10:17:36.568859,,1199
0,389,2020-06-30 10:17:36.580141,,1200
0,392,2020-06-30 10:17:37.418309,,1201
40,392,2020-06-30 10:17:37.418314,,1202
40,392,2020-06-30 10:17:37.418315,,1203
91,392,2020-06-30 10:17:37.418315,,1204
91,392,2020-06-30 10:17:37.418316,,1205
91,392,2020-06-30 10:17:37.418317,,1206
149,392,2020-06-30 10:17:37.418318,,1207
149,392,2020-06-30 10:17:37.418319,,1208
149,392,2020-06-30 10:17:37.41832,,1209
53,399,2020-06-30 10:17:40.928547,,1210
294,399,2020-06-30 10:17:40.928552,,1211
383,399,2020-06-30 10:17:40.928553,,1212
963,399,2020-06-30 10:17:40.928554,,1213
1429,399,2020-06-30 10:17:40.928555,,1214
1532,399,2020-06-30 10:17:40.928556,,1215
1961,399,2020-06-30 10:17:40.928557,,1216
2158,399,2020-06-30 10:17:40.928558,,1217
2158,399,2020-06-30 10:17:40.928559,,1218
0,401,2020-06-30 10:17:52.976612,,1219
42,401,2020-06-30 10:17:52.976617,,1220
42,401,2020-06-30 10:17:52.976618,,1221
73,401,2020-06-30 10:17:52.976619,,1222
73,401,2020-06-30 10:17:52.97662,,1223
73,401,2020-06-30 10:17:52.976621,,1224
96,401,2020-06-30 10:17:52.976622,,1225
96,401,2020-06-30 10:17:52.976623,,1226
96,401,2020-06-30 10:17:52.976624,,1227
0,405,2020-06-30 10:18:28.03638,,1228
20,405,2020-06-30 10:18:28.036384,,1229
20,405,2020-06-30 10:18:28.036385,,1230
67,405,2020-06-30 10:18:28.036386,,1231
67,405,2020-06-30 10:18:28.036387,,1232
0,409,2020-06-30 10:19:02.601981,,1233
45,409,2020-06-30 10:19:02.601986,,1234
45,409,2020-06-30 10:19:02.601987,,1235
68,409,2020-06-30 10:19:02.601988,,1236
68,409,2020-06-30 10:19:02.601989,,1237
68,409,2020-06-30 10:19:02.60199,,1238
68,409,2020-06-30 10:19:02.601991,,1239
68,409,2020-06-30 10:19:02.601992,,1240
68,409,2020-06-30 10:19:02.601993,,1241
0,413,2020-06-30 10:19:37.252489,,1242
526,413,2020-06-30 10:19:37.252495,,1243
650,413,2020-06-30 10:19:37.252496,,1244
1146,413,2020-06-30 10:19:37.252497,,1245
1699,413,2020-06-30 10:19:37.252498,,1246
1764,413,2020-06-30 10:19:37.252499,,1247
0,417,2020-06-30 10:20:14.304581,,1248
90,417,2020-06-30 10:20:14.304586,,1249
105,417,2020-06-30 10:20:14.304587,,1250
290,417,2020-06-30 10:20:14.304588,,1251
933,417,2020-06-30 10:20:14.304589,,1252
1215,417,2020-06-30 10:20:14.30459,,1253
1235,417,2020-06-30 10:20:14.304591,,1254
0,421,2020-06-30 10:21:00.844486,,1255
237,421,2020-06-30 10:21:00.844491,,1256
571,421,2020-06-30 10:21:00.844492,,1257
1166,421,2020-06-30 10:21:00.844497,,1258
2407,421,2020-06-30 10:21:00.844498,,1259
2829,421,2020-06-30 10:21:00.844499,,1260
3618,421,2020-06-30 10:21:00.844499,,1261
4419,421,2020-06-30 10:21:00.8445,,1262
4861,421,2020-06-30 10:21:00.844501,,1263
0,425,2020-06-30 10:21:46.365489,,1264
50,425,2020-06-30 10:21:46.365498,,1265
50,425,2020-06-30 10:21:46.365501,,1266
139,425,2020-06-30 10:21:46.36551,,1267
190,425,2020-06-30 10:21:46.365512,,1268
292,425,2020-06-30 10:21:46.365514,,1269
325,425,2020-06-30 10:21:46.365517,,1270
382,425,2020-06-30 10:21:46.365519,,1271
382,425,2020-06-30 10:21:46.365521,,1272
37,427,2020-06-30 10:22:10.322192,,1273
284,427,2020-06-30 10:22:10.322198,,1274
360,429,2020-07-01 10:09:52.194921,,1275
410,429,2020-07-01 10:09:52.207829,,1276
656,429,2020-07-01 10:09:52.207836,,1277
1265,429,2020-07-01 10:09:52.207838,,1278
1582,429,2020-07-01 10:09:52.207839,,1279
1720,429,2020-07-01 10:09:52.20784,,1280
2070,429,2020-07-01 10:09:52.207841,,1281
2331,429,2020-07-01 10:09:52.207842,,1282
2331,429,2020-07-01 10:09:52.207843,,1283
360,428,2020-07-01 10:09:52.256905,,1284
393,428,2020-07-01 10:09:52.256909,,1285
627,428,2020-07-01 10:09:52.25691,,1286
1218,428,2020-07-01 10:09:52.256911,,1287
1540,428,2020-07-01 10:09:52.256912,,1288
1682,428,2020-07-01 10:09:52.256913,,1289
2035,428,2020-07-01 10:09:52.256914,,1290
2270,428,2020-07-01 10:09:52.256915,,1291
2270,428,2020-07-01 10:09:52.256916,,1292
384,437,2020-07-01 10:09:52.32348,,1293
418,437,2020-07-01 10:09:52.323484,,1294
686,437,2020-07-01 10:09:52.323485,,1295
1315,437,2020-07-01 10:09:52.323486,,1296
1637,437,2020-07-01 10:09:52.323487,,1297
1792,437,2020-07-01 10:09:52.323488,,1298
2151,437,2020-07-01 10:09:52.323489,,1299
2402,437,2020-07-01 10:09:52.32349,,1300
2402,437,2020-07-01 10:09:52.323491,,1301
